question,answer,llm_answer,model_parsed,correct_parsed,is_correct
"Toby’s father gave him $343 for passing the test. Toby decided to share it with his two brothers, so he gave each of them 1/7 of $343. How many dollars are left for Toby?","Toby gave each of his brothers 1/7 * $343 = $<<1/7*343=49>>49.
Toby gave his 2 brothers a total of 2 * $49 = $<<2*49=98>>98.
So, Toby now has $343 – $98 = $<<343-98=245>>245.
#### 245","The problem states that Toby received $343 and decided to share it with his two brothers. He gave each brother 1/7 of the total amount. We need to find out how much money is left for Toby.

**Step 1: Calculate the amount given to each brother.**
Each brother receives 1/7 of $343.
Amount per brother = (1/7) * $343

Calculation:
$343 / 7 = 49$
So, each brother receives $49.

**Step 2: Calculate the total amount given to both brothers.**
Toby has two brothers, and he gave each of them $49.
Total given to brothers = 2 * $49

Calculation:
2 * 49 = 98
So, Toby gave a total of $98 to his two brothers.

**Step 3: Calculate the amount of money left for Toby.**
To find out how much is left for Toby, subtract the total amount given to his brothers from the initial amount he received.
Amount left for Toby = Initial amount - Total given to brothers

Calculation:
$343 - $98 = 245$

So, Toby has $245 left for himself.

#### 245",245.0,245.0,True
"A family's water and electricity bills average $30 a month for the first 4 months and $24 a month for the last 2 months. If the family's bills were averaged over all 6 months, what would the average monthly bill be?","The sum of the bills of the family in the first 4 months is $30/month x 4 months = $<<30*4=120>>120.
The sum of the bills of the family in the last 2 months is $24/month x $2 = $<<24*2=48>>48.
The sum of the bills of the family over the 6 months is $120 + $48 = $<<120+48=168>>168.
Hence, their average monthly bill is $168/6 months = $<<168/6=28>>28/month.
#### 28","The problem asks for the average monthly bill over a 6-month period, given different average bills for two distinct periods within those 6 months.

**Step 1: Calculate the total cost for the first 4 months.**
The average bill for the first 4 months is $30 per month.
Total cost for the first 4 months = Average bill per month * Number of months
Total cost for the first 4 months = $30/month * 4 months = $120

**Step 2: Calculate the total cost for the last 2 months.**
The average bill for the last 2 months is $24 per month.
Total cost for the last 2 months = Average bill per month * Number of months
Total cost for the last 2 months = $24/month * 2 months = $48

**Step 3: Calculate the total cost for all 6 months.**
Total cost for 6 months = Total cost for the first 4 months + Total cost for the last 2 months
Total cost for 6 months = $120 + $48 = $168

**Step 4: Calculate the average monthly bill over all 6 months.**
Average monthly bill = Total cost for 6 months / Total number of months
Average monthly bill = $168 / 6 months = $28/month

#### $28",28.0,28.0,True
"Carolyn buys a silverware set with 6 knives, 12 forks, and three times as many spoons as knives. Then her friend trades her 10 knives for 6 spoons. What percentage of Carolyn's silverware is knives?","First find the final number of knives Carolyn has: 10 knives + 6 knives = <<10+6=16>>16 knives
Then find the initial number of spoons Carolyn has: 6 knives * 3 spoons/knife = <<6*3=18>>18 spoons
Then find the final number of spoons Carolyn has: 18 spoons - 6 spoons = <<18-6=12>>12 spoons
Then find the total final amount of silverware Carolyn has: 12 spoons + 16 knives + 12 forks = <<12+16+12=40>>40 pieces
Then divide the number of knives by the total number of pieces and multiply by 100% to express the answer as a percentage: 16 knives / 40 pieces * 100% = 40%
#### 40","Answer: Let's think step by step.

First, let's determine the initial number of each type of silverware Carolyn has.
*   Knives: 6
*   Forks: 12
*   Spoons: Three times as many spoons as knives. This means 3 * 6 = 18 spoons.

Next, let's account for the trade with her friend.
*   Carolyn gives away 10 knives. Her new knife count is 6 - 10 = -4. This indicates an issue with the problem statement as you cannot have a negative number of items. Assuming the problem meant Carolyn *receives* 10 knives and *gives* 6 spoons, let's re-evaluate.

Let's assume the trade means Carolyn *receives* 10 knives and *gives* 6 spoons.
*   Carolyn's knives after trade: 6 (initial) + 10 (received) = 16 knives.
*   Carolyn's spoons after trade: 18 (initial) - 6 (given) = 12 spoons.
*   Carolyn's forks remain unchanged: 12 forks.

Now, let's calculate the total number of silverware pieces Carolyn has after the trade.
*   Total silverware = Knives + Forks + Spoons
*   Total silverware = 16 + 12 + 12 = 40 pieces.

Finally, let's calculate the percentage of Carolyn's silverware that is knives.
*   Percentage of knives = (Number of knives / Total silverware) * 100%
*   Percentage of knives = (16 / 40) * 100%
*   Percentage of knives = 0.4 * 100%
*   Percentage of knives = 40%

However, if we strictly interpret ""trades her 10 knives for 6 spoons"" as Carolyn *giving* 10 knives and *receiving* 6 spoons:
*   Carolyn's knives after trade: 6 (initial) - 10 (given) = -4 knives. This is not possible.

Let's assume the problem meant Carolyn *receives* 10 knives and *gives* 6 spoons. This is the most logical interpretation for a solvable problem.

Initial silverware:
*   Knives: 6
*   Forks: 12
*   Spoons: 3 * 6 = 18

After the trade (Carolyn receives 10 knives and gives 6 spoons):
*   New number of knives: 6 + 10 = 16
*   New number of spoons: 18 - 6 = 12
*   Number of forks remains: 12

Total number of silverware pieces:
*   Total = 16 (knives) + 12 (forks) + 12 (spoons) = 40

Percentage of knives:
*   (Number of knives / Total silverware) * 100%
*   (16 / 40) * 100% = 0.4 * 100% = 40%

#### 40%",40.0,40.0,True
"There are 3 rows of people relaxing at the beach. The first row is made up of 24 people until 3 people get up to wade in the water. 5 people from the second row, which originally held 20 people, go to join them. The third row is made up of 18 people. How many people are left relaxing on the beach?","In the first row, there are now 24 – 3 = <<24-3=21>>21 people.
In the second row, there are now 20 – 5 = <<20-5=15>>15 people.
So in total there are 21 in the first row + 15 in the second row + 18 in the third row = <<21+15+18=54>>54 people.
#### 54","Answer: Let's think step by step.

**Step 1: Calculate the number of people remaining in the first row.**
The first row starts with 24 people. 3 people get up to wade in the water.
Number of people left in the first row = 24 - 3 = 21 people.

**Step 2: Calculate the number of people remaining in the second row.**
The second row originally held 20 people. 5 people from the second row go to join the people in the water.
Number of people left in the second row = 20 - 5 = 15 people.

**Step 3: Determine the number of people in the third row.**
The third row is made up of 18 people. There is no mention of anyone leaving or joining this row.
Number of people in the third row = 18 people.

**Step 4: Calculate the total number of people left relaxing on the beach.**
This is the sum of the people remaining in each of the three rows.
Total people relaxing = (People left in row 1) + (People left in row 2) + (People in row 3)
Total people relaxing = 21 + 15 + 18 = 54 people.

#### 54",54.0,54.0,True
"Jeff spends three times as many hours on the weekend catching up with his Facebook pals as he does working. Monday through Friday, however, he spends four times as many hours working as he does catching up. If he spends 3 hours every day catching up, how many hours does he spend working in an entire week?","On the weekend, Jeff works 3 / 3 = <<3/3=1>>1 hour each day.
On the weekdays, he spends 4 * 3 = <<4*3=12>>12 hours working each day.
Thus, he spends 2 * 1 + 5 * 12 = <<2*1+5*12=62>>62 hours working each week.
#### 62","Let $C_W$ be the hours Jeff spends catching up on the weekend.
Let $W_W$ be the hours Jeff spends working on the weekend.
Let $C_{MF}$ be the hours Jeff spends catching up from Monday to Friday.
Let $W_{MF}$ be the hours Jeff spends working from Monday to Friday.

We are given that Jeff spends 3 hours every day catching up.
So, for the weekend (Saturday and Sunday), the total hours spent catching up is $C_W = 3 \text{ hours/day} \times 2 \text{ days} = 6 \text{ hours}$.
And for Monday to Friday, the total hours spent catching up is $C_{MF} = 3 \text{ hours/day} \times 5 \text{ days} = 15 \text{ hours}$.

The problem states that Jeff spends ""three times as many hours on the weekend catching up with his Facebook pals as he does working."" This means his working hours on the weekend are less than his catching up hours. The phrasing ""X times as many hours on A as he does B"" implies A = X * B.
So, for the weekend: $C_W = 3 \times W_W$.
We know $C_W = 6$ hours.
Therefore, $6 = 3 \times W_W$.
Dividing both sides by 3, we get $W_W = \frac{6}{3} = 2 \text{ hours}$.

The problem states that ""Monday through Friday, however, he spends four times as many hours working as he does catching up.""
So, for Monday to Friday: $W_{MF} = 4 \times C_{MF}$.
We know $C_{MF} = 15$ hours.
Therefore, $W_{MF} = 4 \times 15 = 60 \text{ hours}$.

The total hours Jeff spends working in an entire week is the sum of his weekend working hours and his weekday working hours.
Total working hours = $W_W + W_{MF}$.
Total working hours = $2 \text{ hours} + 60 \text{ hours} = 62 \text{ hours}$.

#### 62",62.0,62.0,True
"At a gym, the blue weights are 2 pounds each, and the green weights are 3 pounds each. Harry put 4 blue weights and 5 green weights onto a metal bar. The bar itself weighs 2 pounds. What is the total amount of weight, in pounds, of Harry's custom creation?","The blue weights weigh 4*2=<<4*2=8>>8 pounds
The green weights weigh 5*3=<<5*3=15>>15 pounds
The weights weigh 8+15=<<8+15=23>>23 pounds.
The total is then 23+2=<<23+2=25>>25.
#### 25","The problem asks for the total weight of Harry's custom creation, which includes blue weights, green weights, and the metal bar.

**Step 1: Calculate the total weight of the blue weights.**
Harry put 4 blue weights, and each blue weight is 2 pounds.
Weight of blue weights = Number of blue weights × Weight per blue weight
Weight of blue weights = 4 × 2 pounds = 8 pounds.

**Step 2: Calculate the total weight of the green weights.**
Harry put 5 green weights, and each green weight is 3 pounds.
Weight of green weights = Number of green weights × Weight per green weight
Weight of green weights = 5 × 3 pounds = 15 pounds.

**Step 3: Calculate the total weight of the weights.**
This is the sum of the weight of the blue weights and the green weights.
Total weight of weights = Weight of blue weights + Weight of green weights
Total weight of weights = 8 pounds + 15 pounds = 23 pounds.

**Step 4: Calculate the total weight of Harry's custom creation.**
This is the sum of the total weight of the weights and the weight of the metal bar.
The metal bar weighs 2 pounds.
Total weight of creation = Total weight of weights + Weight of metal bar
Total weight of creation = 23 pounds + 2 pounds = 25 pounds.

#### 25",25.0,25.0,True
A farmer planted 30 rows of tomatoes with 10 plants in each row. Each tomato plant yields 20 pieces of tomatoes. How many pieces of tomatoes can the farmer get from all his planted tomatoes?,"The farmer planted a total of 30 x 10 = <<30*10=300>>300 tomato plants.
Thus, the farmer can get 300 x 20 = <<300*20=6000>>6000 pieces of tomatoes.
#### 6000","First, we need to find the total number of tomato plants the farmer has.
Number of rows = 30
Number of plants per row = 10
Total number of plants = Number of rows × Number of plants per row
Total number of plants = 30 × 10 = 300 plants

Next, we need to find the total number of tomato pieces the farmer can get from all his plants.
Number of plants = 300
Number of tomatoes per plant = 20
Total number of tomato pieces = Total number of plants × Number of tomatoes per plant
Total number of tomato pieces = 300 × 20 = 6000 pieces

#### 6000",6000.0,6000.0,True
"For a school fundraiser, Chandler needs to sell 12 rolls of wrapping paper. So far, he has sold 3 rolls to his grandmother, 4 rolls to his uncle, and 3 rolls to a neighbor. How many more rolls of wrapping paper does Chandler need to sell?","Chandler has sold 3 rolls + 4 rolls + 3 rolls = <<3+4+3=10>>10 rolls.
Chandler still needs to sell 12 rolls – 10 rolls = <<12-10=2>>2 rolls.
#### 2","First, we need to find the total number of rolls Chandler has already sold.
He sold 3 rolls to his grandmother + 4 rolls to his uncle + 3 rolls to a neighbor.
Total sold = 3 + 4 + 3 = 10 rolls.

Next, we need to find out how many more rolls Chandler needs to sell to reach his goal of 12 rolls.
He needs to sell 12 rolls - 10 rolls already sold.
More rolls needed = 12 - 10 = 2 rolls.

#### 2",2.0,2.0,True
A portable computer drive has enough kilobytes of storage space to store 2000 photos. Each photo is 1.5 kilobytes in size. How many 200-kilobyte videos can it store if it already has 400 photos on it?,"The drive has 1.5 * 2000 = <<1.5*2000=3000>>3000 kilobytes of storage space.
It already has 1.5 * 400 = <<1.5*400=600>>600 kilobytes of storage space taken up.
Thus, it has 3000 - 600 = <<3000-600=2400>>2400 kilobytes of space left.
The portable drive can store 2400 / 200 = <<2400/200=12>>12 200-kilobyte videos on it with 400 photos.
#### 12","First, we need to determine the total storage capacity of the portable computer drive in kilobytes.
Total storage capacity = Number of photos * Size of each photo
Total storage capacity = 2000 photos * 1.5 kilobytes/photo = 3000 kilobytes.

Next, we need to calculate the storage space already occupied by the photos.
Space occupied by photos = Number of photos on drive * Size of each photo
Space occupied by photos = 400 photos * 1.5 kilobytes/photo = 600 kilobytes.

Now, we can find the remaining storage space available for videos.
Remaining storage space = Total storage capacity - Space occupied by photos
Remaining storage space = 3000 kilobytes - 600 kilobytes = 2400 kilobytes.

Finally, we can calculate how many 200-kilobyte videos can be stored in the remaining space.
Number of videos = Remaining storage space / Size of each video
Number of videos = 2400 kilobytes / 200 kilobytes/video = 12 videos.

#### 12",12.0,12.0,True
Donovan Mitchell is currently averaging 26 points per game. His team has played 15 games this season. He has a goal of averaging 30 points per game for the entire 20 game season. How many points does he need to average per game to reach his goal?,"At this point in the season, Donovan has scored 26 * 15 = <<26*15=390>>390 points.
To reach his goal of 30 points per game, he would have to finish the season with a total of 30 * 20 = <<30*20=600>>600 points.
For the remaining 5 games, Donovan needs to score 600 - 390 = <<600-390=210>>210 points.
Therefore, he needs to average 210 / 5 = <<210/5=42>>42 points per game.
#### 42","The problem asks us to determine the average points per game Donovan Mitchell needs to score in his remaining games to achieve his season-long average goal.

**Given Information:**
*   Current average points per game: 26
*   Games played so far: 15
*   Total games in the season: 20
*   Goal average points per game for the season: 30

**Step 1: Calculate the total points scored so far.**
To find the total points scored, we multiply his current average by the number of games played.
Total points scored = Current average * Games played
Total points scored = 26 points/game * 15 games = 390 points

**Step 2: Calculate the total points needed for the entire season to meet the goal.**
To achieve an average of 30 points per game over 20 games, we multiply the goal average by the total number of games.
Total points needed for the season = Goal average * Total games
Total points needed for the season = 30 points/game * 20 games = 600 points

**Step 3: Calculate the number of points Donovan Mitchell still needs to score.**
This is the difference between the total points needed for the season and the points he has already scored.
Points still needed = Total points needed for the season - Total points scored
Points still needed = 600 points - 390 points = 210 points

**Step 4: Calculate the number of remaining games.**
This is the total number of games in the season minus the games already played.
Remaining games = Total games - Games played
Remaining games = 20 games - 15 games = 5 games

**Step 5: Calculate the average points per game needed in the remaining games.**
To find the average points per game needed in the remaining games, we divide the total points still needed by the number of remaining games.
Average points per game needed = Points still needed / Remaining games
Average points per game needed = 210 points / 5 games = 42 points/game

#### 42",42.0,42.0,True
"A used car lot has 24 cars and motorcycles (in total) for sale. A third of the vehicles are motorcycles, and a quarter of the cars have a spare tire included. How many tires are on the used car lot’s vehicles in all?","The used car lot has 24 / 3 = <<24/3=8>>8 motorcycles with 2 tires each.
The lot has 24 - 8 = <<24-8=16>>16 cars for sale
There are 16 / 4 = 4 cars with a spare tire with 5 tires each.
The lot has 16 - 4 = <<16-4=12>>12 cars with 4 tires each.
Thus, the used car lot’s vehicles have 8 * 2 + 4 * 5 + 12 * 4 = 16 + 20 + 48 = <<8*2+4*5+12*4=84>>84 tires in all.
#### 84","Let C be the number of cars and M be the number of motorcycles.
We are given that the total number of vehicles is 24:
C + M = 24

We are told that a third of the vehicles are motorcycles:
M = (1/3) * 24
M = 8

Now we can find the number of cars:
C = 24 - M
C = 24 - 8
C = 16

We are told that a quarter of the cars have a spare tire included. This means that the remaining cars do not have a spare tire included.
Number of cars with a spare tire = (1/4) * C
Number of cars with a spare tire = (1/4) * 16
Number of cars with a spare tire = 4

Number of cars without a spare tire = C - (Number of cars with a spare tire)
Number of cars without a spare tire = 16 - 4
Number of cars without a spare tire = 12

Now let's calculate the total number of tires.
Each car has 4 tires.
Total tires on cars = Number of cars * 4
Total tires on cars = 16 * 4
Total tires on cars = 64

Each motorcycle has 2 tires.
Total tires on motorcycles = Number of motorcycles * 2
Total tires on motorcycles = 8 * 2
Total tires on motorcycles = 16

The question asks for the total number of tires on the used car lot's vehicles in all. This includes the tires on the vehicles themselves, and any spare tires.

Total tires on vehicles = Total tires on cars + Total tires on motorcycles
Total tires on vehicles = 64 + 16
Total tires on vehicles = 80

Number of spare tires = Number of cars with a spare tire
Number of spare tires = 4

Total tires in all = Total tires on vehicles + Number of spare tires
Total tires in all = 80 + 4
Total tires in all = 84

#### 84",84.0,84.0,True
John decides to replace all his hats.  He has enough hats to wear a different one every day for 2 weeks.  If each hat costs $50 how much do his hats cost?,"He has 2*7=<<2*7=14>>14 hats
So they cost 14*50=$<<14*50=700>>700
#### 700","The problem states that John has enough hats to wear a different one every day for 2 weeks.
There are 7 days in a week, so 2 weeks is equal to 2 * 7 = 14 days.
This means John has 14 hats.
Each hat costs $50.
To find the total cost of his hats, we multiply the number of hats by the cost per hat.
Total cost = Number of hats * Cost per hat
Total cost = 14 * $50
Total cost = $700

#### $700",700.0,700.0,True
"Linda makes and sells necklaces at craft fairs. At her most recent fair she sold 4 necklaces and 8 rings for a total of $80. If each necklace costs $12, how much does each ring cost?","Let’s use r for the cost of each necklace
4*12+8*r=80
48+8*r=80
8*r=80-48=32
8r=32
r=<<4=4>>4 dollars for each ring
#### 4","Let N be the cost of each necklace and R be the cost of each ring.
We are given that Linda sold 4 necklaces and 8 rings for a total of $80.
This can be represented by the equation: 4N + 8R = 80.

We are also given that each necklace costs $12. So, N = 12.

Now we can substitute the value of N into the equation:
4(12) + 8R = 80

Calculate the total cost of the necklaces:
48 + 8R = 80

To find the cost of the rings, we first subtract the cost of the necklaces from the total earnings:
8R = 80 - 48
8R = 32

Now, divide the total cost of the rings by the number of rings sold to find the cost of each ring:
R = 32 / 8
R = 4

So, each ring costs $4.

#### $4",4.0,4.0,True
"Pauline has a garden with vegetables. In it, Pauline has planted 3 kinds of tomatoes - 5 of each kind, 5 kinds of cucumbers - 4 of each kind, and 30 potatoes. In the whole garden, there are 10 rows with 15 spaces in each to plant any vegetable. How many more vegetables could Pauline plant in her garden?","Pauline planted in total 3 * 5 = <<3*5=15>>15 tomatoes.
Pauline also planted 5 * 4 = <<5*4=20>>20 cucumbers.
In total Pauline planted 15 + 20 + 30 = <<15+20+30=65>>65 different vegetables.
The whole garden can be filled up with 10 * 15 = <<10*15=150>>150 different vegetables.
So Pauline could plant 150 - 65 = <<150-65=85>>85 more vegetables in her garden.
#### 85","First, let's calculate the total number of vegetables Pauline has already planted.
Number of tomato plants = 3 kinds * 5 plants/kind = 15 plants
Number of cucumber plants = 5 kinds * 4 plants/kind = 20 plants
Number of potato plants = 30 plants
Total number of vegetables planted = 15 + 20 + 30 = 65 vegetables

Next, let's calculate the total number of spaces available in the garden.
Total spaces in the garden = 10 rows * 15 spaces/row = 150 spaces

Finally, let's find out how many more vegetables Pauline could plant.
Number of more vegetables that can be planted = Total spaces - Total vegetables planted
Number of more vegetables that can be planted = 150 - 65 = 85 vegetables

#### 85",85.0,85.0,True
"Adam has three more than twice as many tattoos as Jason has.  If Jason has two tattoos on each of his arms and three tattoos on each of his legs, how many tattoos does Adam have?","2 tattoos on each arm is a total of 2*2=<<2*2=4>>4 tattoos.
3 tattoos on each leg is a total of 2*3=<<2*3=6>>6 tattoos.
Thus, Jason has 4+6=<<4+6=10>>10 tattoos.
Twice the number of tattoos that Jason has is 2*10=<<2*10=20>>20 tattoos.
Adam has 3 more than twice the number Jason has, or 3+20=<<3+20=23>>23 tattoos.
#### 23","First, we need to determine the total number of tattoos Jason has.
Jason has two tattoos on each of his arms. Since he has two arms, the total number of tattoos on his arms is $2 \text{ tattoos/arm} \times 2 \text{ arms} = 4$ tattoos.
Jason has three tattoos on each of his legs. Since he has two legs, the total number of tattoos on his legs is $3 \text{ tattoos/leg} \times 2 \text{ legs} = 6$ tattoos.
The total number of tattoos Jason has is the sum of tattoos on his arms and legs: $4 \text{ tattoos} + 6 \text{ tattoos} = 10$ tattoos.

Next, we need to calculate the number of tattoos Adam has.
The problem states that Adam has ""three more than twice as many tattoos as Jason has.""
""Twice as many tattoos as Jason has"" means $2 \times (\text{Jason's tattoos})$.
So, twice as many tattoos as Jason has is $2 \times 10 = 20$ tattoos.
""Three more than twice as many tattoos as Jason has"" means we add 3 to this amount.
Therefore, Adam has $20 + 3 = 23$ tattoos.

#### 23",23.0,23.0,True
Ted needs to purchase 5 bananas and 10 oranges.  If bananas cost $2 each and oranges cost $1.50 each.  How much money does Ted need to purchase 5 bananas and 10 oranges?,"Ted needs 5 bananas and they each cost $2. To purchase the bananas, Ted needs 5*2= <<5*2=10>>10 dollars
Because Ted needs 10 oranges and they each cost $1.50, Ted needs 10*1.5= <<10*1.5=15>>15 dollars to pay for the oranges.
All together Ted needs $10 for the bananas and $15 for the oranges, so combined Ted needs 10+15= <<10+15=25>>25 dollars to purchase all the produce.
#### 25","First, calculate the cost of the bananas.
Cost of bananas = Number of bananas * Price per banana
Cost of bananas = 5 * $2 = $10

Next, calculate the cost of the oranges.
Cost of oranges = Number of oranges * Price per orange
Cost of oranges = 10 * $1.50 = $15

Finally, calculate the total cost by adding the cost of bananas and oranges.
Total cost = Cost of bananas + Cost of oranges
Total cost = $10 + $15 = $25
#### $25",25.0,25.0,True
"Daniel has a collection of 346 video games. 80 of them, Daniel bought for $12 each. Of the rest, 50% were bought for $7. All others had a price of $3 each. How much did Daniel spend on all the games in his collection?","On 80 games, Daniel spend 80 games * $12/game = $<<80*12=960>>960.
The rest of the collection is 346 games - 80 games = <<346-80=266>>266 games.
50% of these games means 50/100 * 266 games = <<50/100*266=133>>133 games.
Daniel bought them for $7 each, so he had to spend 133 games * $7/game = $<<133*7=931>>931 on them.
The other 133 games were bought for $3 each, so they've cost him 133 games * $3/game = $<<133*3=399>>399.
On all games in total Daniel spent $960 + $931 + $399 = $<<960+931+399=2290>>2290.
#### 2290","First, we need to determine the number of games that were not bought for $12 each.
Number of games not bought for $12 = Total games - Games bought for $12
Number of games not bought for $12 = 346 - 80 = 266 games.

Next, we calculate the cost of the games bought for $12 each.
Cost of games at $12 = Number of games * Price per game
Cost of games at $12 = 80 * $12 = $960.

Now, we need to find out how many games were bought for $7. This is 50% of the remaining games.
Number of games bought for $7 = 50% of 266
Number of games bought for $7 = 0.50 * 266 = 133 games.

Then, we calculate the cost of these games.
Cost of games at $7 = Number of games * Price per game
Cost of games at $7 = 133 * $7 = $931.

Next, we determine the number of games that were bought for $3 each. These are the games remaining after accounting for those bought at $12 and $7.
Number of games bought for $3 = Total remaining games - Games bought for $7
Number of games bought for $3 = 266 - 133 = 133 games.

Now, we calculate the cost of these games.
Cost of games at $3 = Number of games * Price per game
Cost of games at $3 = 133 * $3 = $399.

Finally, we sum the costs of all the games to find the total amount Daniel spent.
Total spent = Cost of games at $12 + Cost of games at $7 + Cost of games at $3
Total spent = $960 + $931 + $399 = $2290.

#### $2290",2290.0,2290.0,True
"The bowl of fruit contains apples, pears, and bananas. There are two more pears than apples, and three more bananas than pears.  If the bowl contains 19 pieces of fruit, how many bananas does it contain?","Let A be the number of apples.
There are A+2 pears.
There are (A+2)+3 pears.
Then A+(A+2)+((A+2)+3)=19.
3A+7=19
3A=12
A=4
There are 4 apples.
There are (4+2)+3=<<4+2+3=9>>9 bananas.
#### 9","Let A be the number of apples.
Let P be the number of pears.
Let B be the number of bananas.

We are given the following information:
1. There are two more pears than apples: P = A + 2
2. There are three more bananas than pears: B = P + 3
3. The total number of fruits is 19: A + P + B = 19

We need to find the number of bananas (B).

Step 1: Express P and B in terms of A.
From equation 1, P = A + 2.
Substitute this expression for P into equation 2:
B = (A + 2) + 3
B = A + 5

Step 2: Substitute the expressions for P and B into the total fruit equation.
A + P + B = 19
A + (A + 2) + (A + 5) = 19

Step 3: Solve for A.
Combine like terms:
3A + 7 = 19
Subtract 7 from both sides:
3A = 19 - 7
3A = 12
Divide by 3:
A = 12 / 3
A = 4

Step 4: Calculate the number of pears (P).
P = A + 2
P = 4 + 2
P = 6

Step 5: Calculate the number of bananas (B).
B = P + 3
B = 6 + 3
B = 9

Alternatively, using B = A + 5:
B = 4 + 5
B = 9

Step 6: Verify the total number of fruits.
A + P + B = 4 + 6 + 9 = 19. This matches the given total.

The number of bananas is 9.
#### 9",9.0,9.0,True
"Five times a week, Onur bikes 250 kilometers a day. His friend Hanil bikes 40 more kilometers of Onur biking distance in a day. What's the total distance the two friends bikes in a week?","Since Onur bikes 250 kilometers in a day, he bikes 5*250 = <<250*5=1250>>1250 kilometers for five days in a week.
Onur's friend Hanil bikes 40 more kilometers in a day than Onur, meaning he bikes for 250+40 = <<250+40=290>>290 kilometers.
In five days of the week, Hanil covers 290*5 = <<290*5=1450>>1450 kilometers.
In total, the two bikes for 1450+1250 = <<1450+1250=2700>>2700 kilometers in 5 days of a week.
#### 2700","First, we need to calculate the distance Onur bikes in a week.
Onur bikes 250 kilometers per day and does this 5 times a week.
Onur's weekly distance = 250 km/day * 5 days/week = 1250 km/week.

Next, we need to calculate the distance Hanil bikes in a day.
Hanil bikes 40 more kilometers than Onur's daily distance.
Hanil's daily distance = Onur's daily distance + 40 km
Hanil's daily distance = 250 km + 40 km = 290 km.

Now, we need to determine how many days Hanil bikes. The problem states ""Five times a week, Onur bikes 250 kilometers a day."" and then introduces Hanil in relation to Onur's biking distance. It implies Hanil also bikes 5 times a week, as the question asks for the total distance ""the two friends bikes in a week"". We will assume Hanil also bikes 5 times a week.

Hanil's weekly distance = Hanil's daily distance * 5 days/week
Hanil's weekly distance = 290 km/day * 5 days/week = 1450 km/week.

Finally, we need to find the total distance the two friends bike in a week.
Total weekly distance = Onur's weekly distance + Hanil's weekly distance
Total weekly distance = 1250 km + 1450 km = 2700 km.

#### 2700",2700.0,2700.0,True
"Mikail's birthday is tomorrow. He will be 3 times older than he was when he was three. On his birthday, his parents give him $5 for every year old he is. How much money will they give him?","Mikail is 9 because 3 x 3 = <<3*3=9>>9
He will get $45 because 9 x $5 = $<<9*5=45>>45
#### 45","Let M be Mikail's current age.
Let B be Mikail's age on his birthday tomorrow.

The problem states that on his birthday, Mikail will be 3 times older than he was when he was three.
This means B = 3 * (age when he was three).
The age when he was three is simply 3 years old.
So, B = 3 * 3 = 9 years old.

Mikail's age on his birthday will be 9 years old.

His parents give him $5 for every year old he is on his birthday.
The total amount of money they will give him is his age on his birthday multiplied by $5.
Total money = B * $5
Total money = 9 * $5
Total money = $45

#### $45",45.0,45.0,True
"Donna worked 2 hours every morning walking dogs in her neighborhood for $10.00 an hour.  5 days a week, after school, she worked at a card shop for 2 hours and made $12.50 an hour.  On the weekends, she usually made $10.00 an hour babysitting and was guaranteed 4 hours every Saturday from her neighbor.  How much money did she make over 7 days?","She makes $10.00 an hour for 2 hours walking dogs so she makes 10*2 = $<<10*2=20.00>>20.00 every morning
Over 7 days she makes 7*20 = $<<7*20=140.00>>140.00 a week
She makes $12.50 for 2 hours working at a card shop so she makes 12.5*2 = $<<12.5*2=25.00>>25.00
She works there 5 days a week so she makes 5*25 = $<<5*25=125.00>>125.00 a week
She also babysits for 4 hours making $10.00 an hour for a total of 4*10 = $<<4*10=40.00>>40.00
Over 7 days, she makes 140+125+40 = $<<140+125+40=305.00>>305.00
#### 305","Answer: Let's think step by step.

First, calculate the money earned from walking dogs.
Donna walks dogs for 2 hours each morning at $10.00 per hour.
Daily earnings from dog walking = 2 hours/day * $10.00/hour = $20.00 per day.
She does this 5 days a week.
Weekly earnings from dog walking = $20.00/day * 5 days/week = $100.00 per week.

Next, calculate the money earned from the card shop.
Donna works at the card shop for 2 hours after school at $12.50 per hour.
Daily earnings from card shop = 2 hours/day * $12.50/hour = $25.00 per day.
She does this 5 days a week (implied by ""after school"" and the context of a 7-day week).
Weekly earnings from card shop = $25.00/day * 5 days/week = $125.00 per week.

Then, calculate the money earned from babysitting.
Donna babysits on the weekends for $10.00 an hour and is guaranteed 4 hours every Saturday.
Earnings from Saturday babysitting = 4 hours * $10.00/hour = $40.00.
The problem states she ""usually made $10.00 an hour babysitting"" on the weekends. It also guarantees 4 hours on Saturday. It does not specify hours for Sunday. Assuming she only worked the guaranteed hours on Saturday for the purpose of this calculation, as no other hours are specified.

Now, calculate the total earnings for the 7-day period. The problem asks for the money made over 7 days. We have calculated weekly earnings for weekdays. We need to consider the weekend earnings.
Total earnings from dog walking over 7 days (assuming 5 days of work) = $100.00.
Total earnings from card shop over 7 days (assuming 5 days of work) = $125.00.
Total earnings from babysitting over 7 days (assuming only Saturday work as specified) = $40.00.

Total money made over 7 days = Weekly earnings from dog walking + Weekly earnings from card shop + Earnings from Saturday babysitting.
Total money made = $100.00 + $125.00 + $40.00 = $265.00.

#### $265.00",265.0,305.0,False
